finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
2200,Finance & Investments,Brian Armstrong,40,United States,San Francisco,Cryptocurrency,Finance & Investments,United States,,True,M,California
2200,Energy,Albert Avdolyan,52,Russia,Moscow,"Oil, mining",Energy,Russia,,True,M,
2200,Diversified,Sezai Bacaksiz,73,Turkey,Ankara,Diversified,Diversified,Turkey,,True,M,
2200,Technology,Aneel Bhusri,57,United States,San Francisco,Business software,Technology,United States,Workday,True,M,California
2200,Fashion & Retail,Brett Blundy,63,Bahamas,Paradise Island,"Retail, agribusiness",Fashion & Retail,Australia,,True,M,
2200,Finance & Investments,J. Hyatt Brown,85,United States,Ormond Beach,Insurance,Finance & Investments,United States,,False,M,Florida
2200,Finance & Investments,Chen Jinxia,55,China,Shanghai,Investments,Finance & Investments,China,,False,F,
2200,Healthcare,Chen Xueli,71,China,Weihai,Pharmaceuticals,Healthcare,China,,True,M,
2200,Finance & Investments,Dermot Desmond,72,Ireland,Dublin,Finance,Finance & Investments,Ireland,,True,M,
2200,Healthcare,Dong Wei,52,China,Lianyungang,Pharmaceuticals,Healthcare,China,,True,M,
2200,Fashion & Retail,Tom Ford,61,United States,Los Angeles,Fashion,Fashion & Retail,United States,,True,M,California
2200,Food & Beverage,Fu Guangming & family,69,China,Nanping,Poultry,Food & Beverage,China,,True,M,
2200,Finance & Investments,Noam Gottesman,61,United States,New York,Hedge funds,Finance & Investments,United States,TOMS Capital,True,M,New York
2200,Finance & Investments,Jeffrey Gundlach,64,United States,Los Angeles,Investments,Finance & Investments,United States,DoubleLine Capital,True,M,California
2200,Healthcare,Hao Hong,67,China,Tianjin,Pharmaceuticals,Healthcare,United States,,True,M,
2200,Automotive,Shmuel Harlap,78,Israel,Tel Aviv,Automotive,Automotive,Israel,,False,M,
2200,Technology,Hans-Werner Hector,83,Germany,Weinheim,SAP,Technology,Germany,,True,M,
